priority,candidate,supplier,chemistry,status,role,energy_kwh,nominal_voltage_v,voltage_range_v,capacity_ah,continuous_current_a,peak_current_a,continuous_power_kw,peak_power_kw,dimensions_mm,weight,cooling,bms,contactors_precharge_isolation,can,moq,price,key_risk,source,datasheet,quote,cad,integration_docs
1,AMPHERR LFP-400-052 1F30,AMPHERR AG,LFP,shortlisted,Preferred flat underfloor LFP reference pack,52.2,384,300-438; OCV 357-425 at 5-95% SoC,135,135,473 for 10s,~51.8 at 384V,~181.6 at 384V,2050 x 1000 x 145,445-535 kg depending housing,"Liquid, 10-15 L/min",Integrated,Integrated BMS/PJB/precharge/isolation measurement; contactors/fuse shown,CANBus 2.0A-B,UKN,UKN,Continuous power tight for 60kW motor; max voltage 438V may require charge limit,AMPHERR LFP-400-052 datasheet uploaded by user,Uploaded datasheet,UKN,UKN,UKN
2,American Battery Solutions T350V-50,American Battery Solutions,"Lithium Ion, exact chemistry UKN",shortlisted,US commercial compact-pack candidate,52,354,UKN - verify from datasheet,150,180,UKN,~63.7 at 354V,UKN,1361 x 772 x 286,UKN,Integrated liquid cooling,"State-of-the-art BMS, ASIL-C functional safety per ABS page",UKN - ask ABS,UKN - ask ABS,UKN,UKN,"Chemistry, voltage range, weight, peak discharge, and integration docs not confirmed",ABS product page and user screenshot,UKN - product page only,UKN,UKN,UKN
3,Hypercraft HyperPack Energy EX-24S24P-E 400V stack,Hypercraft,Li-ion NMC,shortlisted,Best modular high-power alternate,40.6,400V-class stack,400V stack per Hypercraft docs,UKN,UKN,UKN,81.3,121.9,4 x HyperPack units; each 30.4 x 14 x 6.3 in,520 lb / 235.9 kg,WEG active chilling/heating; water-to-air optional,Integrated,UKN - ask Hypercraft,UKN - ask Hypercraft,UKN,UKN,NMC not LFP; requires multi-pack integration,Hypercraft specifications PDF uploaded by user,Uploaded specifications PDF,UKN,UKN - CAD availability claimed; file not received,UKN
4,Hypercraft HyperPack Energy EX-32S18P-E 400V stack,Hypercraft,Li-ion NMC,alternate,Lightweight/borderline-energy alternate,30.5,400V-class stack,400V stack per Hypercraft docs,UKN,UKN,UKN,61.0,91.4,3 x HyperPack units,390 lb / 176.9 kg,WEG active chilling/heating; water-to-air optional,Integrated,UKN,UKN,UKN,UKN,Very little power margin for SMG180; less range,Hypercraft specifications PDF,Uploaded specifications PDF,UKN,UKN,UKN
5,Hypercraft HyperPack Power EX-24S24P-P 400V stack,Hypercraft,Li-ion NMC,performance-alternate,High power lower-capacity alternate,33,400V-class stack,400V stack per Hypercraft docs,UKN,UKN,UKN,172.8,373.2,4 x HyperPack units,520 lb / 235.9 kg,WEG active chilling/heating; water-to-air optional,Integrated,UKN,UKN,UKN,UKN,Overkill power; lower capacity than Energy stack at same weight,Hypercraft specifications PDF,Uploaded specifications PDF,UKN,UKN,UKN
6,CTS custom 120S 135Ah LFP,CTS / Hunan CTS,LFP,needs-quote,Desired CTS custom 400V-class LFP equivalent to AMPHERR,~51.8,~384,~300-438; ask for charge limit <=430V,135,UKN,UKN,Target >=60,Target >=120,UKN,UKN,Ask liquid cooling,Ask included,Ask included,Ask DBC/CAN docs,Target MOQ 1,UKN,Not confirmed standard product; requires CTS quote,Derived ask based on CTS screenshots,UKN,UKN,UKN,UKN
7,CTS custom 108S 150Ah LFP,CTS / Hunan CTS,LFP,needs-quote,Desired CTS safer-voltage 50kWh class pack,~51.8,~345.6,~270-394,150,UKN,UKN,Target >=60,Target >=120,UKN,UKN,Ask liquid cooling,Ask included,Ask included,Ask DBC/CAN docs,Target MOQ 1,UKN,Not confirmed standard product; lower voltage increases current,Derived ask based on CTS screenshots,UKN,UKN,UKN,UKN
8,CTS custom 96S 150-180Ah LFP,CTS / Hunan CTS,LFP,needs-quote,Desired CTS low-voltage safe-window custom pack,~46-55,~307.2,~240-345,150-180,UKN,UKN,Target >=60,Target >=120,UKN,UKN,Ask liquid cooling,Ask included,Ask included,Ask DBC/CAN docs,Target MOQ 1,UKN,Lower voltage requires higher current,Derived ask based on CTS screenshots,UKN,UKN,UKN,UKN
9,CTS 153.6V/230Ah LFP 2S1P standard,CTS / Hunan CTS,LFP,rejected,Standard CTS LFP pack shown in screenshot; rejected for reference target,70.6,307.2,240-345.4 working,230,UKN,UKN,70 rated,140 peak for 30s discharge,Module shown as 1060 x 630 x 240; layout UKN,UKN,UKN,UKN,UKN,UKN,UKN,UKN,70kWh likely too much mass for kei-truck target,CTS screenshot supplied by user,UKN - screenshot only,UKN,UKN,UKN
10,CTS 307.2V/105Ah LFP 1S1P standard,CTS / Hunan CTS,LFP,prototype-only,Low-energy low-power prototype pack,32.36,307.2,240-345.4 working,105,UKN,UKN,32 rated,64 peak for 30s discharge,1110 x 630 x 240,UKN,UKN,UKN,UKN,UKN,UKN,UKN,Too weak for full SMG180 use unless heavily software-limited,CTS screenshot supplied by user,UKN - screenshot only,UKN,UKN,UKN
