supplier,priority,question,status
AMPHERR,high,"Can a single LFP-400-052 1F30 be purchased? MOQ, price, lead time?",open
AMPHERR,high,Exact 1F30 weight and STEP CAD?,open
AMPHERR,high,Can charger/BMS top voltage be limited to <=430 V?,open
ABS,high,"Is T350V-50 LFP, NMC, or another lithium-ion chemistry?",open
ABS,high,"T350V-50 peak discharge current/power, voltage range, weight, CAD, CAN docs?",open
Hypercraft,medium,Quote and availability for EX-24S24P-E 4-pack 400V Energy stack; CAD and CAN/DBC docs?,open
CTS,high,"MOQ 1 quote for 120S 135Ah, 108S 150Ah, and 96S 180Ah LFP packs with exact dimensions/weight?",open
CTS,high,"Confirm BMS, PDU, contactors, precharge, fuse, isolation monitoring, HVIL, MSD, cooling, CAN docs, certifications, warranty.",open
Bosch,medium,"Confirm current SMG180 OHW specs, voltage limits, cooling requirements, and whether Bosch direct sales are limited to Tier 1/B2B manufacturers or integrators.",open
Fiat 500e salvage sellers,high,"Find complete Bosch SMG-family Fiat 500e motor/inverter/harness/reduction packages with exact part numbers, condition, mileage, HV connectors, coolant fittings, and return policy.",open
Nissan Leaf salvage sellers,high,"Find complete ZE0/AZE0/ZE1 Leaf motor/inverter/reduction/differential assemblies with matching inverter, harness pigtails, mileage, exact donor year, shipping weight, and return policy.",open
Thunderstruck,high,"Confirm Nissan Leaf drive system package availability for AZE0/ZE1 units, delivered price, VCU/manual docs, included components, weight, reverse RPM behavior, and battery-voltage compatibility.",open
Resolve-EV,high,"Confirm controller and harness support for Nissan Leaf donor generations, included functions, documentation, price, lead time, and compatibility with a non-Leaf 300-430V pack.",open
Chevrolet Bolt EV salvage sellers,medium,"Find complete Bolt EV motor/inverter/reduction assemblies with exact part numbers, condition, mileage, HV connectors, cooling fittings, and any known open controller path.",open
NetGain Motors,medium,"Confirm HyPer 9 HV continuous/peak ratings, voltage limits, CAD, price, lead time, and whether the kit can support a loaded kei-truck use case.",open
HPEVS,medium,"Confirm AC-50/AC-51 continuous ratings, controller voltage options, price, lead time, CAD, and suitability for a low-speed mule versus full reference truck.",open
Cascadia Motion,medium,"Quote iM-225 with voltage configuration, delivered price, lead time, CAD/manual package, coolant requirements, gearbox/final-drive recommendations, and CAN/control documentation.",open
Hypercraft,medium,"Can Hypercraft quote a de-rated 400V commercial powertrain package without forcing a HyperPack battery lock-in? Include VCU, inverter, cooling, harness, CAD, and integration docs.",open
Thunderstruck,high,"Recommend charger, DCDC, contactors, fuses, disconnects, connectors, cooling pump, and display pieces for a 300-430V 35-55kWh EV utility truck prototype.",open
Mini4x4.ca,high,"Can you quote Suzuki Carry tail/turn lamps, front blinkers, side/tailgate handles, bed hinges, steering rack/tie rods, and any fitment drawings or part numbers?",open
Honda-Acty.com,high,"Can you provide HA4/HA7 body, glass, lights, radio, seat, seat belt, steering, brake, suspension, and rear floor/gate part availability with diagrams and prices?",open
Yokohama Motors,high,"Which Acty/Carry/Hijet generation has the broadest new OEM/aftermarket body, bed, glass, lighting, steering, brake, and suspension support for a reference donor?",open
Auto Glass Japan,medium,"Quote Acty, Carry, and Hijet windshields/rear/door glass with DOT markings, shipping to the United States, gasket/urethane requirements, and dimensional drawings if available.",open
Buyers Products,medium,"Recommend DOT lamps, hinges, tailgate latches, stake hardware, chains/cables, tie-downs, and product drawings/load ratings for a small drop-side utility bed.",open
SendCutSend,medium,"Confirm best practices, tolerances, material options, and quote path for tab-and-slot bed/chassis brackets from DXF/STEP files.",open
Online Metals,medium,"Confirm repeatable availability and pricing for standard steel/aluminum sheet and rectangular tube sizes suitable for a small utility EV frame and bed.",open
