priority,subsystem,part_group,item,qty,reference_spec_or_target,sourcing_strategy,candidate_source,source_url,status,key_questions,notes
1,Powertrain,Traction drive,Traction motor,1,"400V-class, 60 kW continuous minimum, 90 kW peak reference","Use Bosch SMG180 OHW as reference spec only; Bosch direct is Tier 1/B2B, not an individual-builder purchase path","Bosch separate motor-generator OHW","https://www.bosch-mobility.com/en/solutions/powertrain/battery-electric/separate-motor-generator-ohw/",shortlisted,"Which SMG180 variant, inverter, gearbox, CAD, and control docs correspond to an obtainable Fiat 500e salvage unit?","Matches current motor reference in docs/02-powertrain-notes.md, but sourcing must not assume Bosch consumer sales."
2,Powertrain,Traction drive,Motor purchase path,1,"Used/salvaged Fiat 500e Bosch SMG-family motor, preferably with inverter and harness","Search eBay, salvage yards, and EV dismantlers for complete Fiat 500e motor/inverter assemblies","eBay Fiat 500e Bosch SMG180 salvage search","https://www.ebay.com/sch/i.html?_nkw=Fiat+500e+Bosch+SMG180",needs-datasheet,"Can a complete Fiat 500e motor/inverter/harness set be sourced with matching part numbers, resolver interface, coolant fittings, HV connectors, and a known controller path?","This is the only currently tracked individual-builder path; marketplace listings remain unverified until exact part numbers and condition are documented."
3,Powertrain,Traction drive,Integrated motor/inverter alternate,1,"300-430V compatible, compact, documented CAD","Use as high-power alternate if SMG180 sourcing stalls","Cascadia Motion iM-225","https://www.cascadiamotion.com/im-225",alternate,"What is delivered price, lead time, voltage configuration, gearbox strategy, and CAN/control documentation?","Likely overpowered for the first reference truck but well documented."
4,Powertrain,Traction drive,Turnkey powertrain alternate,1,"Motor, inverter, VCU, radiator, pump, HV/LV harness bundle","Ask Hypercraft for a de-rated 400V package compatible with 35-55 kWh pack","Hypercraft EV products","https://hypercraftusa.com/products/",alternate,"Can Hypercraft quote a low-power commercial package without locking battery choice?","Good integration path, but may be expensive and less open."
5,Powertrain,Reduction drive,Reduction gearbox or final drive,1,"Final wheel torque suitable for local utility use; no ICE transmission dependency","For Bosch path, prefer the matched Fiat 500e reduction/final-drive hardware if available; otherwise require documented ratio and shaft/flange interface","Bosch OHW system ecosystem","https://www.bosch-mobility.com/en/solutions/powertrain/battery-electric/separate-motor-generator-ohw/",needs-datasheet,"What Fiat 500e reduction/final-drive parts are needed, and can they be sourced with the motor/inverter package?","Critical before chassis motor placement is frozen."
6,Powertrain,Axle and shafts,Rear differential or transaxle,1,"Kei-truck-scale axle, serviceable bearings, parking-brake compatibility","Use donor kei rear axle for prototype or design custom IRS/live axle around common parts","Honda Acty HA4 steering/brake/suspension diagrams","https://honda-acty.com/parts-diagrams-ha4-honda-acty-1990-1999-models/",discovered,"Which donor axle width, hub pattern, and payload rating best fits the reference track width?","The Acty diagrams expose rear axle, driveshaft, brakes, and parking brake categories."
7,Powertrain,Axle and shafts,Half shafts/CV joints/prop shafts,1 set,"Serviceable joints, boots, and replacement parts","Use donor kei geometry first; avoid one-off shafts until suspension is frozen","Mini4x4 steering and driveline-adjacent parts","https://mini4x4.ca/store/en/steering-c66/",discovered,"Which donor model offers repeatable CV and boot sourcing?","Include boots, clamps, seals, axle nuts, and spares in later BOM."
8,Powertrain,Controls,Accelerator pedal or throttle sensor,1,"Dual-channel pedal preferred; controller-compatible output","Use EV/industrial pedal with known controller compatibility","Curtis Instruments input devices","https://www.curtisinstruments.com/products/input-devices",discovered,"Which pedal output is required by selected VCU/inverter: dual analog, CAN, PWM, or switch?","Treat pedal plausibility and limp behavior as safety requirements."
9,High voltage,Power distribution,HV power distribution unit,1,"400V-class PDU, fused outputs for inverter, charger, DCDC, heater","Use commercial PDU where possible; custom only after schematic review","Eaton EV power distribution unit","https://www.eaton.com/us/en-us/catalog/emobility/power-distribution-unit.html",discovered,"Can a configurable low-volume PDU be purchased with ratings, CAD, and service documentation?","Existing safety architecture already requires contactors, fuse, precharge, HVIL, and isolation monitoring."
10,High voltage,Power distribution,Contactors,2-3,"Pack voltage/current rated, auxiliary contacts preferred","If not integrated in pack/PDU, source sealed EV contactors through EV suppliers","Thunderstruck Motors contactors and switches","https://www.thunderstruck-ev.com/",discovered,"What coil voltage, economizer, aux contacts, and interrupt rating are required?","Main positive, main negative, and charge contactors may differ."
11,High voltage,Power distribution,Precharge circuit,1,"Resistor and contactor/relay sized for inverter DC-link capacitance","Use PDU-integrated precharge or documented EV supplier kit","Thunderstruck Motors contactors and switches","https://www.thunderstruck-ev.com/",discovered,"What precharge target time and final voltage delta does the inverter require?","Do not hand-wave this; it affects contactor life and startup faults."
12,High voltage,Power distribution,HV fuses,as needed,"DC-rated, fault-current compatible, serviceable","Use EV-rated fuses matched to pack fault current and wire size","Thunderstruck Motors fuses and disconnects","https://www.thunderstruck-ev.com/",discovered,"What interrupt rating is required for the final pack and PDU layout?","Fuse choice depends on pack fault-current data from the battery supplier."
13,High voltage,Service safety,Manual service disconnect,1,"Accessible, touch-safe, HVIL-capable if possible","Prefer pack-integrated MSD; otherwise source EV disconnect hardware","Thunderstruck Motors fuses and disconnects","https://www.thunderstruck-ev.com/",discovered,"Does the selected pack include an MSD and where is it accessible in a kei bed/cab layout?","Must be documented in service procedure."
14,High voltage,Service safety,HVIL loop,1 system,"All service covers/connectors interrupt enable path","Use pack/PDU/inverter supported HVIL when available","Open Kei Truck HV safety architecture","../safety/hv-safety-architecture.md",shortlisted,"Which components expose HVIL pins and what is the fail-safe state?","Internal repo reference; validate with supplier pinouts."
15,High voltage,Service safety,Isolation monitoring device,1,"400V-class IMD or pack/PDU-integrated equivalent","Prefer integrated pack/PDU IMD; otherwise source standalone automotive IMD","Eaton EV power distribution unit","https://www.eaton.com/us/en-us/catalog/emobility/power-distribution-unit.html",discovered,"Is isolation monitoring included, and what CAN/fault behavior is exposed?","Required for safe HV operation and diagnostics."
16,High voltage,Wiring,HV cable and conduit,as needed,"Orange jacket, voltage/current/temperature rated, abrasion protected","Use EV conversion suppliers for small quantities; industrial cable only with proper rating","Thunderstruck Motors connectors and wiring","https://www.thunderstruck-ev.com/",discovered,"What cable gauge is required for 60 kW continuous and 120 kW peak at lowest pack voltage?","Coordinate with PDU, inverter, charger, and battery terminals."
17,High voltage,Wiring,HV connectors and boots,as needed,"Touch-safe, keyed, sealed, serviceable","Prefer connectors used by selected components; avoid mixing connector families unnecessarily","Thunderstruck Motors connectors and wiring","https://www.thunderstruck-ev.com/",discovered,"Which connector family is available for battery, inverter, charger, and PDU?","Track crimp tooling as part of the BOM."
18,High voltage,Charging,Charge inlet,1,"J1772 first prototype target; NACS only after integration path is clear","Use EV conversion inlet with pilot/proximity documentation","Thunderstruck Motors chargers and accessories","https://www.thunderstruck-ev.com/",discovered,"Which onboard charger and EVCC expect J1772 pilot/proximity wiring?","Keep charge port placement clear of bed cargo abuse."
19,High voltage,Charging,Onboard charger,1,"120/240VAC Level 1/2, pack-voltage compatible, CAN or enable input","Use charger compatible with selected pack/BMS and charge inlet","Thunderstruck Motors chargers and accessories","https://www.thunderstruck-ev.com/",discovered,"What max charge voltage is allowed by selected battery and can it be limited below 430V?","Battery decision drives charger more than body design."
20,High voltage,Low-voltage supply,DC-DC converter,1,"300-430V input, 13.8-14.4V output, >=1.5-2 kW target","Use EV-rated converter with sealed connectors and enable/fault pins","Thunderstruck Motors DC-DC converters","https://www.thunderstruck-ev.com/dc-dc-converters/",discovered,"What 12V load budget is needed for lights, fan, wipers, radio, pumps, and controls?","Panasonic notes the DCDC is the bridge between HV battery and LV loads."
21,High voltage,BMS,BMS for custom/non-integrated pack,1,"400V pack support, CAN, contactor control, thermal inputs","Use pack-integrated BMS when possible; Orion only for custom pack path","Orion BMS 2","https://www.orionbms.com/products/orion-bms-standard/",alternate,"If custom pack is used, how many cells, taps, temperatures, and CAN messages are needed?","Current battery strategy prefers integrated BMS."
22,Controls,Vehicle control,VCU or supervisory controller,1,"Coordinates inverter, BMS, charger, DCDC, dash, fault states","Use supplier-provided VCU if buying turnkey powertrain; otherwise define open VCU later","Hypercraft EV products","https://hypercraftusa.com/products/",needs-datasheet,"Can selected motor/inverter operate with documented open CAN or supplied VCU?","Do not pick VCU before inverter protocol is known."
23,Controls,Instrumentation,EV gauge cluster or display,1,"SOC, speed, warnings, HV faults, coolant temp, drive state","Use CAN-ready EV gauges/dash compatible with Orion/AEM/Thunderstruck or custom CAN bridge","Speedhut Freedom CAN-Bus EV gauges","https://speedhut.com/categories/gauge-applications/freedom-ev-can-bus.html",discovered,"Which CAN data source is authoritative for SOC, speed, and critical warnings?","A simple cluster is better than a tablet-only prototype."
24,Controls,Instrumentation,Current/voltage sensor,1,"Bidirectional pack current and voltage for dash/logging","Use shunt or pack/BMS telemetry; avoid duplicate sensors unless needed","EV West instrumentation","https://evwest.com/instrumentation",discovered,"Does selected BMS/PDU already expose calibrated pack current and voltage?","Needed for range and fault logging."
25,Thermal,Coolant loop,Motor/inverter radiator,1,"Rejects motor/inverter heat at low road speed","Use compact automotive/UTV radiator or supplier kit","Hypercraft commercial powertrain example","https://hypercraftusa.com/commercial-powertrains/c570s/",discovered,"What heat rejection is required at continuous hill/load case?","Hypercraft bundles radiator and pump in some systems; copy that completeness."
26,Thermal,Coolant loop,Coolant pump,1-3,"Brushless 12V pumps sized to motor, inverter, battery loops","Prefer supplier-matched pump; otherwise source EV/motorsport pump","Thunderstruck Motors cooling/heating/pumps","https://www.thunderstruck-ev.com/",discovered,"What flow and pressure drop do motor, inverter, and battery require?","Bosch reference motor requires water-glycol flow per datasheet."
27,Thermal,Coolant loop,"Reservoir, bleeder, hoses, fittings",1 set,"Serviceable fill/bleed points and abrasion-safe routing","Use motorsport/industrial hose and clamps rated for coolant and temperature","McMaster-Carr pipe, tubing, hose, and fittings","https://www.mcmaster.com/",discovered,"Where are high points and service bleed points in cab-over packaging?","Small packaging errors here become miserable service work."
28,Thermal,Cabin heat/defrost,Electric heater or PTC unit,1,"Windshield defrost and cabin comfort without ICE coolant","Use EV PTC heater only after HV PDU capacity is reserved","Thunderstruck Motors cooling/heating/pumps","https://www.thunderstruck-ev.com/",discovered,"What heat output is required for defrost in target climates, and is HV or 12V better?","Defrost is a functional requirement if road use is pursued."
